EN,SV,PLURAL
DumpTemplateVarsIntranet,DumpTemplateVarsIntranet,DumpTemplateVarsIntranet
DumpTemplateVarsOpac,DumpTemplateVarsOpac,DumpTemplateVarsOpac
EAN,EAN,EAN
EANs,EANs,EANs
EBOOK,EBOOK,EBOOK
EBSCO,EBSCO,EBSCO
EBSCOadmin,EBSCOadmin,EBSCOadmin
EBook,EBook,EBook
EC,EC,EC
EDI,EDI,EDI
EDIFACT,EDIFACT,EDIFACT
EDIT,EDIT,EDIT
EDITION,EDITION,EDITION
EDIfact,EDIfact,EDIfact
EDItEUR,EDItEUR,EDItEUR
EDS,EDS,EDS
EITHER,EITHER,EITHER
EJournal,EJournal,EJournal
ELECTRONIC,ELECTRONIC,ELECTRONIC
ELEMENTS,ELEMENTS,ELEMENTS
ELSE,ELSE,ELSE
ELSIF,ELSIF,ELSIF
EM,EM,EM
END,END,END
ENTIRE,ENTIRE,ENTIRE
ENTRY,ENTRY,ENTRY
EPSON,EPSON,EPSON
ERM,ERM,ERM
ERMModule,ERMModule,ERMModule
ERMProviderEbscoApiKey,ERMProviderEbscoApiKey,ERMProviderEbscoApiKey
ERMProviderEbscoCustomerID,ERMProviderEbscoCustomerID,ERMProviderEbscoCustomerID
ERMProviders,ERMProviders,ERMProviders
ESPreventAutoTruncate,ESPreventAutoTruncate,ESPreventAutoTruncate
ETAT,ETAT,ETAT
ETC,ETC,ETC
EUC,EUC,EUC
EUR,EUR,EUR
EVEN,EVEN,EVEN
EVENT,EVENT,EVENT
EW,EW,EW
EXAMPLE,EXAMPLE,EXAMPLE
EXAMPLES,EXAMPLES,EXAMPLES
EXCEPT,EXCEPT,EXCEPT
EXPIRE,EXPIRE,EXPIRE
EXPRESSED,EXPRESSED,EXPRESSED
EXTENT,EXTENT,EXTENT
EasyAnalyticalRecords,EasyAnalyticalRecords,EasyAnalyticalRecords
EasyAnalytics,EasyAnalytics,EasyAnalytics
EdifactInvoiceImport,EdifactInvoiceImport,EdifactInvoiceImport
EdifactLSQ,EdifactLSQ,EdifactLSQ
ElasticSearch,ElasticSearch,ElasticSearch
ElasticsearchCrossFields,ElasticsearchCrossFields,ElasticsearchCrossFields
EmailAddressForPatronRegistrations,EmailAddressForPatronRegistrations,EmailAddressForPatronRegistrations
EmailAddressForSuggestions,EmailAddressForSuggestions,EmailAddressForSuggestions
EmailFieldPrecedence,EmailFieldPrecedence,EmailFieldPrecedence
EmailFieldPrimary,EmailFieldPrimary,EmailFieldPrimary
EmailFieldSelection,EmailFieldSelection,EmailFieldSelection
EmailOverduesNoEmail,EmailOverduesNoEmail,EmailOverduesNoEmail
EmailPatronRegistrations,EmailPatronRegistrations,EmailPatronRegistrations
EmailPatronWhenHoldIsPlaced,EmailPatronWhenHoldIsPlaced,EmailPatronWhenHoldIsPlaced
EmailPurchaseSuggestions,EmailPurchaseSuggestions,EmailPurchaseSuggestions
EmailSMSSendDriverFromAddress,EmailSMSSendDriverFromAddress,EmailSMSSendDriverFromAddress
EnableAdvancedCatalogingEditor,EnableAdvancedCatalogingEditor,EnableAdvancedCatalogingEditor
EnableBorrowerFiles,EnableBorrowerFiles,EnableBorrowerFiles
EnableExpiredPasswordReset,EnableExpiredPasswordReset,EnableExpiredPasswordReset
EnableItemGroupHolds,EnableItemGroupHolds,EnableItemGroupHolds
EnableItemGroups,EnableItemGroups,EnableItemGroups
EnableOpacSearchHistory,EnableOpacSearchHistory,EnableOpacSearchHistory
EnablePayPalOpacPayments,EnablePayPalOpacPayments,EnablePayPalOpacPayments
EnablePointOfSale,EnablePointOfSale,EnablePointOfSale
EnableSearchHistory,EnableSearchHistory,EnableSearchHistory
EnhancedMessagingPreferences,EnhancedMessagingPreferences,EnhancedMessagingPreferences
EnhancedMessagingPreferencesOPAC,EnhancedMessagingPreferencesOPAC,EnhancedMessagingPreferencesOPAC
EpsonExpert,EpsonExpert,EpsonExpert
ExcludeHolidaysFromMaxPickUpDelay,ExcludeHolidaysFromMaxPickUpDelay,ExcludeHolidaysFromMaxPickUpDelay
ExecStart,ExecStart,ExecStart
ExpireReservesAutoFill,ExpireReservesAutoFill,ExpireReservesAutoFill
ExpireReservesAutoFillEmail,ExpireReservesAutoFillEmail,ExpireReservesAutoFillEmail
ExpireReservesMaxPickUpDelay,ExpireReservesMaxPickUpDelay,ExpireReservesMaxPickUpDelay
ExpireReservesMaxPickUpDelayCharge,ExpireReservesMaxPickUpDelayCharge,ExpireReservesMaxPickUpDelayCharge
ExpireReservesOnHolidays,ExpireReservesOnHolidays,ExpireReservesOnHolidays
ExplodedTerms,ExplodedTerms,ExplodedTerms
ExportCircHistory,ExportCircHistory,ExportCircHistory
ExportRemoveFields,ExportRemoveFields,ExportRemoveFields
