EN,SV,PLURAL
StaffLangSelectorMode,StaffLangSelectorMode,StaffLangSelectorMode
TranslateNotices,TranslateNotices,TranslateNotices
News,News,News
Pages,Pages,Pages
opaclanguagesdisplay,opaclanguagesdisplay,opaclanguagesdisplay
OpacLangSelectorMode,OpacLangSelectorMode,OpacLangSelectorMode
language,language,language
"""Notices and Slips"" interface","""Notices and Slips"" interface","""Notices and Slips"" interface"
creating a new patron account in the staff interface,creating a new patron account in the staff interface,creating a new patron account in the staff interface
messaging options,messaging options,messaging options
registers online on the OPAC,registers online on the OPAC,registers online on the OPAC
PatronSelfRegistrationBorrowerUnwantedField,PatronSelfRegistrationBorrowerUnwantedField,PatronSelfRegistrationBorrowerUnwantedField
OAI-PMH,OAI-PMH,OAI-PMH
OAI-PMH:ConfFile,OAI-PMH:ConfFile,OAI-PMH:ConfFile
ILS-DI system preferences,ILS-DI system preferences,ILS-DI system preferences
Guided reports wizard,Guided reports wizard,Guided reports wizard
Report from SQL,Report from SQL,Report from SQL
RESTOAuth2ClientCredentials,RESTOAuth2ClientCredentials,RESTOAuth2ClientCredentials
Marc Modification Templates,Marc Modification Templates,Marc Modification Templates
OCLC Connexion Daemon,OCLC Connexion Daemon,OCLC Connexion Daemon
above,above,above
staged for import,staged for import,staged for import
TalkingTechItivaPhoneNotification,TalkingTechItivaPhoneNotification,TalkingTechItivaPhoneNotification
EnhancedMessagingPreferences,EnhancedMessagingPreferences,EnhancedMessagingPreferences
Overdue notice/status triggers,Overdue notice/status triggers,Overdue notice/status triggers
TalkingTech\_itiva\_outbound.pl,TalkingTech\_itiva\_outbound.pl,TalkingTech\_itiva\_outbound.pl
TalkingTech\_itiva\_inbound.pl,TalkingTech\_itiva\_inbound.pl,TalkingTech\_itiva\_inbound.pl
manage\_libraries permission,manage\_libraries permission,manage\_libraries permission
notices,notices,notices
'Libraries' page of the OPAC,'Libraries' page of the OPAC,'Libraries' page of the OPAC
KohaAdminEmailAddress,KohaAdminEmailAddress,KohaAdminEmailAddress
ILLDefaultStaffEmail,ILLDefaultStaffEmail,ILLDefaultStaffEmail
ReplytoDefault,ReplytoDefault,ReplytoDefault
ReturnpathDefault,ReturnpathDefault,ReturnpathDefault
SMTP server,SMTP server,SMTP server
HTML customization,HTML customization,HTML customization
'Libraries' page in the OPAC,'Libraries' page in the OPAC,'Libraries' page in the OPAC
MARCOrgCode,MARCOrgCode,MARCOrgCode
'Libraries' page on the OPAC,'Libraries' page on the OPAC,'Libraries' page on the OPAC
ConsiderLibraryHoursInCirculation,ConsiderLibraryHoursInCirculation,ConsiderLibraryHoursInCirculation
OPACUserJS,OPACUserJS,OPACUserJS
OPACUserCSS,OPACUserCSS,OPACUserCSS
advanced search limit dropdown,advanced search limit dropdown,advanced search limit dropdown
view\_borrower\_infos\_from\_any\_libraries permission,view\_borrower\_infos\_from\_any\_libraries permission,view\_borrower\_infos\_from\_any\_libraries permission
edit\_any\_item permission,edit\_any\_item permission,edit\_any\_item permission
OpacAddMastheadLibraryPulldown,OpacAddMastheadLibraryPulldown,OpacAddMastheadLibraryPulldown
advanced search page,advanced search page,advanced search page
hold policies in the circulation rules,hold policies in the circulation rules,hold policies in the circulation rules
return policy,return policy,return policy
hold policy,hold policy,hold policy
UseCirculationDesks,UseCirculationDesks,UseCirculationDesks
manage\_itemtypes permission,manage\_itemtypes permission,manage\_itemtypes permission
circulation rules,circulation rules,circulation rules
circulation rule,circulation rule,circulation rule
ITEMTYPECAT authorized value category,ITEMTYPECAT authorized value category,ITEMTYPECAT authorized value category
item-level\_itypes,item-level\_itypes,item-level\_itypes
noItemTypeImages,noItemTypeImages,noItemTypeImages
OPACNoItemTypeImages,OPACNoItemTypeImages,OPACNoItemTypeImages
OPACnoItemTypeImages,OPACnoItemTypeImages,OPACnoItemTypeImages
OpacHiddenItems,OpacHiddenItems,OpacHiddenItems
cronjob misc/cronjobs/automatic_checkin.pl,cronjob misc/cronjobs/automatic_checkin.pl,cronjob misc/cronjobs/automatic_checkin.pl
bookings,bookings,bookings
calendar,calendar,calendar
replacement cost,replacement cost,replacement cost
Adding item types,Adding item types,Adding item types
manage\_auth\_values permission,manage\_auth\_values permission,manage\_auth\_values permission
