EN,SV,PLURAL
Unsuspend Holds,Unsuspend Holds,Unsuspend Holds
'Holds to pull' list,'Holds to pull' list,'Holds to pull' list
UpdateItemWhenLostFromHoldList,UpdateItemWhenLostFromHoldList,UpdateItemWhenLostFromHoldList
AllowHoldDateInFuture,AllowHoldDateInFuture,AllowHoldDateInFuture
placing holds in the staff interface,placing holds in the staff interface,placing holds in the staff interface
placing multiple item-level holds on one record,placing multiple item-level holds on one record,placing multiple item-level holds on one record
notice,notice,notice
process\_message\_queue.pl cron job,process\_message\_queue.pl cron job,process\_message\_queue.pl cron job
EnableItemGroups,EnableItemGroups,EnableItemGroups
cataloging preferences,cataloging preferences,cataloging preferences
Expire Holds cron job,Expire Holds cron job,Expire Holds cron job
check in the item in order to trigger the next hold,check in the item in order to trigger the next hold,check in the item in order to trigger the next hold
they opted to receive 'Hold filled' notices,they opted to receive 'Hold filled' notices,they opted to receive 'Hold filled' notices
ExpireReservesAutoFillEmail,ExpireReservesAutoFillEmail,ExpireReservesAutoFillEmail
ExpireReservesAutoFill,ExpireReservesAutoFill,ExpireReservesAutoFill
hold ratios report,hold ratios report,hold ratios report
Default holds policy by item type,Default holds policy by item type,Default holds policy by item type
"LocalHoldsPriority, LocalHoldsPriorityPatronControl and LocalHoldsPriorityItemControl","LocalHoldsPriority, LocalHoldsPriorityPatronControl and LocalHoldsPriorityItemControl","LocalHoldsPriority, LocalHoldsPriorityPatronControl and LocalHoldsPriorityItemControl"
"LocalHoldsPriority, LocalHoldsPriorityPatronControl, LocalHoldsPriorityItemControl","LocalHoldsPriority, LocalHoldsPriorityPatronControl, LocalHoldsPriorityItemControl","LocalHoldsPriority, LocalHoldsPriorityPatronControl, LocalHoldsPriorityItemControl"
HoldsSplitQueue,HoldsSplitQueue,HoldsSplitQueue
HoldsQueuePrioritizeBranch,HoldsQueuePrioritizeBranch,HoldsQueuePrioritizeBranch
patron's account,patron's account,patron's account
OPACHoldsIfAvailableAtPickup,OPACHoldsIfAvailableAtPickup,OPACHoldsIfAvailableAtPickup
build\_holds\_queue.pl cronjob,build\_holds\_queue.pl cronjob,build\_holds\_queue.pl cronjob
Koha holiday calendar,Koha holiday calendar,Koha holiday calendar
Holds Awaiting Pickup,Holds Awaiting Pickup,Holds Awaiting Pickup
Holds Queue report,Holds Queue report,Holds Queue report
a cron job,a cron job,a cron job
Transport Cost Matrix,Transport Cost Matrix,Transport Cost Matrix
LOST authorized value category,LOST authorized value category,LOST authorized value category
WITHDRAWN authorized value category,WITHDRAWN authorized value category,WITHDRAWN authorized value category
DAMAGED authorized value category,DAMAGED authorized value category,DAMAGED authorized value category
CCODE authorized value category,CCODE authorized value category,CCODE authorized value category
CanMarkHoldsToPullAsLost,CanMarkHoldsToPullAsLost,CanMarkHoldsToPullAsLost
Firefox plugin,Firefox plugin,Firefox plugin
Windows tool,Windows tool,Windows tool
offline circulation,offline circulation,offline circulation
desktop application,desktop application,desktop application
ISSUEQSLIP,ISSUEQSLIP,ISSUEQSLIP
ISSUESLIP,ISSUESLIP,ISSUESLIP
export patrons' checkouts,export patrons' checkouts,export patrons' checkouts
exporting the patron's current checkouts,exporting the patron's current checkouts,exporting the patron's current checkouts
ExportCircHistory,ExportCircHistory,ExportCircHistory
Holds to Pull,Holds to Pull,Holds to Pull
checkout tab,checkout tab,checkout tab
checkout,checkout,checkout
Checkout tab.,Checkout tab.,Checkout tab.
LOST authorized value,LOST authorized value,LOST authorized value
LOST authorized values category,LOST authorized values category,LOST authorized values category
NOT\_LOAN authorized value,NOT\_LOAN authorized value,NOT\_LOAN authorized value
NOT\_LOAN authorized values category,NOT\_LOAN authorized values category,NOT\_LOAN authorized values category
DefaultLongOverdueLostValue,DefaultLongOverdueLostValue,DefaultLongOverdueLostValue
LOST values,LOST values,LOST values
DefaultLongOverdueLostValue/DefaultLongOverdueDays,DefaultLongOverdueLostValue/DefaultLongOverdueDays,DefaultLongOverdueLostValue/DefaultLongOverdueDays
long overdue cron job,long overdue cron job,long overdue cron job
claims returned,claims returned,claims returned
'Holds to pull','Holds to pull','Holds to pull'
items tab,items tab,items tab
longoverdue cronjob,longoverdue cronjob,longoverdue cronjob
cataloging an item,cataloging an item,cataloging an item
return claim,return claim,return claim
receiving a payment,receiving a payment,receiving a payment
pays for the item,pays for the item,pays for the item
pays,pays,pays
written off,written off,written off
writes off,writes off,writes off
Overdue Notice/Status Triggers,Overdue Notice/Status Triggers,Overdue Notice/Status Triggers
restriction,restriction,restriction
adding a manual restriction to a patron,adding a manual restriction to a patron,adding a manual restriction to a patron
misc/cronjobs/automatic_renewals.pl,misc/cronjobs/automatic_renewals.pl,misc/cronjobs/automatic_renewals.pl
return claims,return claims,return claims
RETURN\_CLAIM\_RESOLUTION authorized value,RETURN\_CLAIM\_RESOLUTION authorized value,RETURN\_CLAIM\_RESOLUTION authorized value
RETURN\_CLAIM\_RESOLUTION authorized value category,RETURN\_CLAIM\_RESOLUTION authorized value category,RETURN\_CLAIM\_RESOLUTION authorized value category
resolve return claims,resolve return claims,resolve return claims
return claims feature,return claims feature,return claims feature
resolved return claims,resolved return claims,resolved return claims
cleanup\_database.pl cron job,cleanup\_database.pl cron job,cleanup\_database.pl cron job
self\_checkout\_module permission,self\_checkout\_module permission,self\_checkout\_module permission
WebBasedSelfCheck,WebBasedSelfCheck,WebBasedSelfCheck
patron record,patron record,patron record
AutoSelfCheckAllowed,AutoSelfCheckAllowed,AutoSelfCheckAllowed
SelfCheckAllowByIPRanges,SelfCheckAllowByIPRanges,SelfCheckAllowByIPRanges
self check-out,self check-out,self check-out
stock rotation module,stock rotation module,stock rotation module
manage\_patron\_lists permission,manage\_patron\_lists permission,manage\_patron\_lists permission
modifying patrons in batches,modifying patrons in batches,modifying patrons in batches
deleting patrons in batches,deleting patrons in batches,deleting patrons in batches
merging patrons,merging patrons,merging patrons
printing patron card batches,printing patron card batches,printing patron card batches
patron card creator,patron card creator,patron card creator
batch patron modification tool,batch patron modification tool,batch patron modification tool
batch patron deletion tool,batch patron deletion tool,batch patron deletion tool
patron lists tab in the patron record,patron lists tab in the patron record,patron lists tab in the patron record
clubs permission,clubs permission,clubs permission
edit\_templates permission,edit\_templates permission,edit\_templates permission
they enroll in a club,they enroll in a club,they enroll in a club
edit\_clubs permission,edit\_clubs permission,edit\_clubs permission
'Club fields' in the template,'Club fields' in the template,'Club fields' in the template
enroll permission,enroll permission,enroll permission
'Clubs' tab,'Clubs' tab,'Clubs' tab
'Enrollment fields','Enrollment fields','Enrollment fields'
'Your summary' section,'Your summary' section,'Your summary' section
create an SQL report,create an SQL report,create an SQL report
placing the hold,placing the hold,placing the hold
moderate\_comments permission,moderate\_comments permission,moderate\_comments permission
import\_patrons permission,import\_patrons permission,import\_patrons permission
BorrowerMandatoryField,BorrowerMandatoryField,BorrowerMandatoryField
dateformat system preference,dateformat system preference,dateformat system preference
edit\_notices permission,edit\_notices permission,edit\_notices permission
SlipCSS,SlipCSS,SlipCSS
NoticeCSS,NoticeCSS,NoticeCSS
claiming late orders,claiming late orders,claiming late orders
claiming late serial issues,claiming late serial issues,claiming late serial issues
ILL request process,ILL request process,ILL request process
ordering acquisitions,ordering acquisitions,ordering acquisitions
patron accounts,patron accounts,patron accounts
sending a custom email,sending a custom email,sending a custom email
preservation process,preservation process,preservation process
purchase suggestion process,purchase suggestion process,purchase suggestion process
custom report results,custom report results,custom report results
triggers,triggers,triggers
PhoneNotification,PhoneNotification,PhoneNotification
Overdue notice markup,Overdue notice markup,Overdue notice markup
patron file,patron file,patron file
two-factor authentication,two-factor authentication,two-factor authentication
purchase suggestion is accepted,purchase suggestion is accepted,purchase suggestion is accepted
payment transaction,payment transaction,payment transaction
UseEmailReceipts,UseEmailReceipts,UseEmailReceipts
writeoff transaction,writeoff transaction,writeoff transaction
claiming orders,claiming orders,claiming orders
aquisitions module,aquisitions module,aquisitions module
late orders page,late orders page,late orders page
vendor contact,vendor contact,vendor contact
basket summary page,basket summary page,basket summary page
inform patrons on receiving orders,inform patrons on receiving orders,inform patrons on receiving orders
article request has been made,article request has been made,article request has been made
messaging preferences,messaging preferences,messaging preferences
made a purchase suggestion,made a purchase suggestion,made a purchase suggestion
order created from the suggestion,order created from the suggestion,order created from the suggestion
received,received,received
sending the cart by email from the OPAC,sending the cart by email from the OPAC,sending the cart by email from the OPAC
sending the cart by email from the staff interface,sending the cart by email from the staff interface,sending the cart by email from the staff interface
Messaging tab,Messaging tab,Messaging tab
checkout note,checkout note,checkout note
checkouts list on the OPAC,checkouts list on the OPAC,checkouts list on the OPAC
'Item due' notice,'Item due' notice,'Item due' notice
holds\_reminder.pl,holds\_reminder.pl,holds\_reminder.pl
'Hold filled' notice,'Hold filled' notice,'Hold filled' notice
emailLibrarianWhenHoldIsPlaced,emailLibrarianWhenHoldIsPlaced,emailLibrarianWhenHoldIsPlaced
EmailPatronWhenHoldIsPlaced,EmailPatronWhenHoldIsPlaced,EmailPatronWhenHoldIsPlaced
requests to partner libraries,requests to partner libraries,requests to partner libraries
inter-library loan,inter-library loan,inter-library loan
cancels their inter-library loan request,cancels their inter-library loan request,cancels their inter-library loan request
modifies their inter-library loan request,modifies their inter-library loan request,modifies their inter-library loan request
their inter-library loan request has been updated,their inter-library loan request has been updated,their inter-library loan request has been updated
sending a list by email from the OPAC,sending a list by email from the OPAC,sending a list by email from the OPAC
sending a list by email from the staff interface,sending a list by email from the staff interface,sending a list by email from the staff interface
MembershipExpiryDaysNotice,MembershipExpiryDaysNotice,MembershipExpiryDaysNotice
related cron job,related cron job,related cron job
membership\_expiry.pl cronjob,membership\_expiry.pl cronjob,membership\_expiry.pl cronjob
a curbside pickup is scheduled,a curbside pickup is scheduled,a curbside pickup is scheduled
curbside pickup module must be enabled,curbside pickup module must be enabled,curbside pickup module must be enabled
EmailPurchaseSuggestions,EmailPurchaseSuggestions,EmailPurchaseSuggestions
assigned as manager of a suggestion,assigned as manager of a suggestion,assigned as manager of a suggestion
patron registers through the OPAC,patron registers through the OPAC,patron registers through the OPAC
patron who registered through the OPAC,patron who registered through the OPAC,patron who registered through the OPAC
patron who made a suggestion,patron who made a suggestion,patron who made a suggestion
'from a suggestion' option is used to create an order from it,'from a suggestion' option is used to create an order from it,'from a suggestion' option is used to create an order from it
a patron requests a new password from the OPAC,a patron requests a new password from the OPAC,a patron requests a new password from the OPAC
requested a recall,requested a recall,requested a recall
ready for them to pick up,ready for them to pick up,ready for them to pick up
'Advanced notice','Advanced notice','Advanced notice'
'Advanced notice' digest,'Advanced notice' digest,'Advanced notice' digest
items in a train,items in a train,items in a train
reports a problem on the OPAC,reports a problem on the OPAC,reports a problem on the OPAC
patron's purchase suggestion is rejected,patron's purchase suggestion is rejected,patron's purchase suggestion is rejected
RenewalSendNotice,RenewalSendNotice,RenewalSendNotice
has been recalled,has been recalled,has been recalled
adding or editing a subscription,adding or editing a subscription,adding or editing a subscription
detail view in the OPAC,detail view in the OPAC,detail view in the OPAC
stock rotation,stock rotation,stock rotation
stockrotation.pl,stockrotation.pl,stockrotation.pl
password reset email,password reset email,password reset email
report a concern through the staff interface,report a concern through the staff interface,report a concern through the staff interface
report a concern through the OPAC,report a concern through the OPAC,report a concern through the OPAC
catalog concern,catalog concern,catalog concern
a concern was reported about a bibliographic record,a concern was reported about a bibliographic record,a concern was reported about a bibliographic record
the concern is marked as resolved with the 'Notify' flag,the concern is marked as resolved with the 'Notify' flag,the concern is marked as resolved with the 'Notify' flag
the concern is updated with the 'Notify' flag,the concern is updated with the 'Notify' flag,the concern is updated with the 'Notify' flag
notice\_unprocessed\_suggestions,notice\_unprocessed\_suggestions,notice\_unprocessed\_suggestions
AutoEmailNewUser,AutoEmailNewUser,AutoEmailNewUser
patron's accounting tab,patron's accounting tab,patron's accounting tab
paying or writing off a charge,paying or writing off a charge,paying or writing off a charge
FinePaymentAutoPopup,FinePaymentAutoPopup,FinePaymentAutoPopup
credit type code,credit type code,credit type code
debit type code,debit type code,debit type code
'Print' button,'Print' button,'Print' button
managing article requests from the staff interface,managing article requests from the staff interface,managing article requests from the staff interface
Print checkin slip,Print checkin slip,Print checkin slip
Check in page,Check in page,Check in page
print the quick slip in circulation,print the quick slip in circulation,print the quick slip in circulation
print a full slip in circulation,print a full slip in circulation,print a full slip in circulation
a hold is confirmed and set to waiting,a hold is confirmed and set to waiting,a hold is confirmed and set to waiting
'print' menu in the patron account,'print' menu in the patron account,'print' menu in the patron account
receiving the recall,receiving the recall,receiving the recall
edit\_notice\_status\_triggers permission,edit\_notice\_status\_triggers permission,edit\_notice\_status\_triggers permission
Notices & slips,Notices & slips,Notices & slips
set that patron category,set that patron category,set that patron category
OverdueNoticeCalendar,OverdueNoticeCalendar,OverdueNoticeCalendar
holiday calendar,holiday calendar,holiday calendar
AutoRemoveOverduesRestrictions,AutoRemoveOverduesRestrictions,AutoRemoveOverduesRestrictions
i-tiva Talking Tech service,i-tiva Talking Tech service,i-tiva Talking Tech service
label\_creator permission,label\_creator permission,label\_creator permission
patron image,patron image,patron image
manage images,manage images,manage images
create a profile,create a profile,create a profile
template,template,template
template edit form,template edit form,template edit form
custom report,custom report,custom report
option to send the report results,option to send the report results,option to send the report results
patron card layouts,patron card layouts,patron card layouts
ImageLimit,ImageLimit,ImageLimit
delete\_anonymize\_patrons permission,delete\_anonymize\_patrons permission,delete\_anonymize\_patrons permission
patron list,patron list,patron list
edit\_patrons permission,edit\_patrons permission,edit\_patrons permission
list of patrons,list of patrons,list of patrons
batch\_extend\_due\_dates permission,batch\_extend\_due\_dates permission,batch\_extend\_due\_dates permission
moderate\_tags permission,moderate\_tags permission,moderate\_tags permission
tagging system preferences,tagging system preferences,tagging system preferences
the dictionary,the dictionary,the dictionary
batch\_upload\_patron\_images permission,batch\_upload\_patron\_images permission,batch\_upload\_patron\_images permission
allowing patron images,allowing patron images,allowing patron images
patron cards,patron cards,patron cards
rotating\_collections permission,rotating\_collections permission,rotating\_collections permission
edit\_calendar permission,edit\_calendar permission,edit\_calendar permission
finescalendar,finescalendar,finescalendar
manage\_csv\_profiles permission,manage\_csv\_profiles permission,manage\_csv\_profiles permission
baskets,baskets,baskets
late orders,late orders,late orders
late issues,late issues,late issues
list of lost items,list of lost items,list of lost items
cart or list,cart or list,cart or list
serials,serials,serials
export late issues of serial subscriptions,export late issues of serial subscriptions,export late issues of serial subscriptions
export late orders in the acquisitions module,export late orders in the acquisitions module,export late orders in the acquisitions module
download records from acquisitions baskets,download records from acquisitions baskets,download records from acquisitions baskets
lost items report,lost items report,lost items report
Using Template Toolkit in MARC CSV profile,Using Template Toolkit in MARC CSV profile,Using Template Toolkit in MARC CSV profile
acquisitions baskets,acquisitions baskets,acquisitions baskets
view\_system\_logs permission,view\_system\_logs permission,view\_system\_logs permission
logs preferences,logs preferences,logs preferences
edit\_additional\_contents permission,edit\_additional\_contents permission,edit\_additional\_contents permission
OpacNewsLibrarySelect,OpacNewsLibrarySelect,OpacNewsLibrarySelect
Notices & slips tool,Notices & slips tool,Notices & slips tool
installation,installation,installation
AdditionalContentsEditor,AdditionalContentsEditor,AdditionalContentsEditor
NewsAuthorDisplay,NewsAuthorDisplay,NewsAuthorDisplay
display locations,display locations,display locations
Quote of the day,Quote of the day,Quote of the day
reporting a concern in the OPAC,reporting a concern in the OPAC,reporting a concern in the OPAC
reporting a concern in the staff interface,reporting a concern in the staff interface,reporting a concern in the staff interface
creating an interlibrary loan request on the OPAC,creating an interlibrary loan request on the OPAC,creating an interlibrary loan request on the OPAC
ILLModuleCopyrightClearance,ILLModuleCopyrightClearance,ILLModuleCopyrightClearance
OpacMaintenanceNotice,OpacMaintenanceNotice,OpacMaintenanceNotice
'your summary' tab,'your summary' tab,'your summary' tab
list of facets,list of facets,list of facets
OPACResultsSidebar,OPACResultsSidebar,OPACResultsSidebar
purchase suggestion form on the OPAC,purchase suggestion form on the OPAC,purchase suggestion form on the OPAC
OpacSuppression,OpacSuppression,OpacSuppression
OpacSuppressionMessage,OpacSuppressionMessage,OpacSuppressionMessage
creates a library account via the OPAC,creates a library account via the OPAC,creates a library account via the OPAC
PatronSelfRegistrationAdditionalInstructions,PatronSelfRegistrationAdditionalInstructions,PatronSelfRegistrationAdditionalInstructions
SCOMainUserBlock,SCOMainUserBlock,SCOMainUserBlock
SelfCheckHelpMessage,SelfCheckHelpMessage,SelfCheckHelpMessage
self check-in,self check-in,self check-in
SelfCheckInMainUserBlock,SelfCheckInMainUserBlock,SelfCheckInMainUserBlock
Authorities,Authorities,Authorities
Cataloguing module,Cataloguing module,Cataloguing module
Lists,Lists,Lists
Patrons module,Patrons module,Patrons module
news,news,news
IntranetNav,IntranetNav,IntranetNav
IntranetmainUserBlock,IntranetmainUserBlock,IntranetmainUserBlock
schedule\_tasks permission,schedule\_tasks permission,schedule\_tasks permission
edit\_quotes permission,edit\_quotes permission,edit\_quotes permission
QuoteOfTheDay,QuoteOfTheDay,QuoteOfTheDay
news block,news block,news block
plugin administration page,plugin administration page,plugin administration page
tool permission,tool permission,tool permission
upload\_general\_files permission,upload\_general\_files permission,upload\_general\_files permission
Cataloging form,Cataloging form,Cataloging form
access\_files permission,access\_files permission,access\_files permission
cashup permission,cashup permission,cashup permission
library details,library details,library details
register details,register details,register details
cashups,cashups,cashups
acquisitions system preferences,acquisitions system preferences,acquisitions system preferences
acquisitions administration,acquisitions administration,acquisitions administration
EDI accounts,EDI accounts,EDI accounts
library EANs,library EANs,library EANs
entered your vendors,entered your vendors,entered your vendors
Budget/fund tracking,Budget/fund tracking,Budget/fund tracking
vendors\_manage permission,vendors\_manage permission,vendors\_manage permission
add values,add values,add values
VENDOR\_TYPE authorized value category,VENDOR\_TYPE authorized value category,VENDOR\_TYPE authorized value category
vendor search,vendor search,vendor search
editing baskets section below,editing baskets section below,editing baskets section below
acquisitions claims,acquisitions claims,acquisitions claims
serials claims,serials claims,serials claims
VENDOR\_INTERFACE\_TYPE authorized value category,VENDOR\_INTERFACE\_TYPE authorized value category,VENDOR\_INTERFACE\_TYPE authorized value category
Currencies and exchange rates,Currencies and exchange rates,Currencies and exchange rates
TaxRates,TaxRates,TaxRates
placing an order,placing an order,placing an order
late orders report,late orders report,late orders report
create a new basket,create a new basket,create a new basket
add a new contract,add a new contract,add a new contract
edit the vendor information,edit the vendor information,edit the vendor information
search for the vendor,search for the vendor,search for the vendor
contracts\_manage permission,contracts\_manage permission,contracts\_manage permission
searching for the vendor,searching for the vendor,searching for the vendor
access the vendor page,access the vendor page,access the vendor page
vendor page,vendor page,vendor page
creating a basket,creating a basket,creating a basket
issue\_manage permission,issue\_manage permission,issue\_manage permission
VENDOR\_ISSUE\_TYPE authorized value category,VENDOR\_ISSUE\_TYPE authorized value category,VENDOR\_ISSUE\_TYPE authorized value category
on the patron's behalf,on the patron's behalf,on the patron's behalf
make purchase suggestions via the OPAC,make purchase suggestions via the OPAC,make purchase suggestions via the OPAC
suggestions\_manage permission,suggestions\_manage permission,suggestions\_manage permission
acquisitions permissions,acquisitions permissions,acquisitions permissions
SuggestionsLog system preference,SuggestionsLog system preference,SuggestionsLog system preference
From a purchase suggestion,From a purchase suggestion,From a purchase suggestion
SUGGEST\_STATUS authorized values category,SUGGEST\_STATUS authorized values category,SUGGEST\_STATUS authorized values category
patron's account in the OPAC,patron's account in the OPAC,patron's account in the OPAC
email notice,email notice,email notice
SUGGEST authorized value category,SUGGEST authorized value category,SUGGEST authorized value category
ordering from a suggestion,ordering from a suggestion,ordering from a suggestion
SUGGEST\_STATUS authorized values,SUGGEST\_STATUS authorized values,SUGGEST\_STATUS authorized values
add corresponding notices,add corresponding notices,add corresponding notices
SUGGEST\_FORMAT authorized value category,SUGGEST\_FORMAT authorized value category,SUGGEST\_FORMAT authorized value category
NOTIFY\_MANAGER notice,NOTIFY\_MANAGER notice,NOTIFY\_MANAGER notice
order this title from the suggestion,order this title from the suggestion,order this title from the suggestion
notice\_unprocessed\_suggestions.pl cronjob,notice\_unprocessed\_suggestions.pl cronjob,notice\_unprocessed\_suggestions.pl cronjob
TO\_PROCESS,TO\_PROCESS,TO\_PROCESS
'Your purchase suggestions' section of the patron's file on the OPAC,'Your purchase suggestions' section of the patron's file on the OPAC,'Your purchase suggestions' section of the patron's file on the OPAC
purge\_suggestions.pl cronjob,purge\_suggestions.pl cronjob,purge\_suggestions.pl cronjob
search for the vendor or bookseller,search for the vendor or bookseller,search for the vendor or bookseller
create a basket,create a basket,create a basket
EANs,EANs,EANs
order\_manage permission,order\_manage permission,order\_manage permission
added contracts,added contracts,added contracts
AcqCreateItem,AcqCreateItem,AcqCreateItem
additional fields for order baskets,additional fields for order baskets,additional fields for order baskets
patron notifications,patron notifications,patron notifications
items,items,items
accounting details,accounting details,accounting details
managing purchase suggestions,managing purchase suggestions,managing purchase suggestions
your purchase suggestions,your purchase suggestions,your purchase suggestions
UseACQFrameworkForBiblioRecords,UseACQFrameworkForBiblioRecords,UseACQFrameworkForBiblioRecords
MARC framework,MARC framework,MARC framework
stage\_marc\_import permission,stage\_marc\_import permission,stage\_marc\_import permission
MarcFieldsToOrder,MarcFieldsToOrder,MarcFieldsToOrder
staged,staged,staged
permissions,permissions,permissions
circulate\_remaining\_permissions permission,circulate\_remaining\_permissions permission,circulate\_remaining\_permissions permission
add items to the order,add items to the order,add items to the order
Acquisitions administration,Acquisitions administration,Acquisitions administration
currencies,currencies,currencies
Dealing with uncertain prices,Dealing with uncertain prices,Dealing with uncertain prices
WhenLostChargeReplacementFee,WhenLostChargeReplacementFee,WhenLostChargeReplacementFee
vendor information,vendor information,vendor information
creating the fund,creating the fund,creating the fund
additional fields for order lines,additional fields for order lines,additional fields for order lines
AcquisitionDetails,AcquisitionDetails,AcquisitionDetails
OPACAcquisitionDetails,OPACAcquisitionDetails,OPACAcquisitionDetails
add orders to the basket,add orders to the basket,add orders to the basket
closing the basket,closing the basket,closing the basket
add it to a basket group,add it to a basket group,add it to a basket group
receive its items,receive its items,receive its items
CSV profiles tool,CSV profiles tool,CSV profiles tool
vendor profile,vendor profile,vendor profile
receive items,receive items,receive items
BasketConfirmations,BasketConfirmations,BasketConfirmations
group\_manage permission,group\_manage permission,group\_manage permission
OrderPdfFormat,OrderPdfFormat,OrderPdfFormat
1PageOrderPDFText,1PageOrderPDFText,1PageOrderPDFText
Vendor search,Vendor search,Vendor search
close the basket,close the basket,close the basket
order\_receive permission,order\_receive permission,order\_receive permission
creating your basket,creating your basket,creating your basket
"'Cost, replacement price' subfield","'Cost, replacement price' subfield","'Cost, replacement price' subfield"
"'Cost, normal purchase price' subfield","'Cost, normal purchase price' subfield","'Cost, normal purchase price' subfield"
AcqItemSetSubfieldsWhenReceived,AcqItemSetSubfieldsWhenReceived,AcqItemSetSubfieldsWhenReceived
needing to be notified when the order is received,needing to be notified when the order is received,needing to be notified when the order is received
suggested the purchase,suggested the purchase,suggested the purchase
basket page,basket page,basket page
receiving page,receiving page,receiving page
basket group,basket group,basket group
'late order' calculations,'late order' calculations,'late order' calculations
ORDER\_CANCELLATION\_REASON authorized values category,ORDER\_CANCELLATION\_REASON authorized values category,ORDER\_CANCELLATION\_REASON authorized values category
CancelOrdersInClosedBaskets,CancelOrdersInClosedBaskets,CancelOrdersInClosedBaskets
acquisition permissions,acquisition permissions,acquisition permissions
edit\_invoices permission,edit\_invoices permission,edit\_invoices permission
merge\_invoices permission,merge\_invoices permission,merge\_invoices permission
reopen\_closed\_invoices permission,reopen\_closed\_invoices permission,reopen\_closed\_invoices permission
delete\_invoices permission,delete\_invoices permission,delete\_invoices permission
orders are received,orders are received,orders are received
merge selected invoices,merge selected invoices,merge selected invoices
receiving,receiving,receiving
authorized values category,authorized values category,authorized values category
AcqEnableFiles,AcqEnableFiles,AcqEnableFiles
accounting details section of the order,accounting details section of the order,accounting details section of the order
creating the vendor,creating the vendor,creating the vendor
contact at the vendor's,contact at the vendor's,contact at the vendor's
'Acquisition claim' (code ACQCLAIM),'Acquisition claim' (code ACQCLAIM),'Acquisition claim' (code ACQCLAIM)
add different notices,add different notices,add different notices
active funds,active funds,active funds
CalculateFundValuesIncludingTax,CalculateFundValuesIncludingTax,CalculateFundValuesIncludingTax
EDIFACT system preference,EDIFACT system preference,EDIFACT system preference
library codes,library codes,library codes
item type codes,item type codes,item type codes
fund codes,fund codes,fund codes
Create a vendor/bookseller/jobber record,Create a vendor/bookseller/jobber record,Create a vendor/bookseller/jobber record
Acquisitions system preferences,Acquisitions system preferences,Acquisitions system preferences
MARC order fields,MARC order fields,MARC order fields
EDI Accounts,EDI Accounts,EDI Accounts
Library EANs,Library EANs,Library EANs
EDI cron,EDI cron,EDI cron
ordering from a new file,ordering from a new file,ordering from a new file
EDIFACT messages,EDIFACT messages,EDIFACT messages
EDI cron job,EDI cron job,EDI cron job
Sending the EDIFACT order,Sending the EDIFACT order,Sending the EDIFACT order
EdifactInvoiceImport,EdifactInvoiceImport,EdifactInvoiceImport
clean up database script,clean up database script,clean up database script
add records in your basket,add records in your basket,add records in your basket
receiving orders,receiving orders,receiving orders
add the items,add the items,add the items
uploading of invoice files,uploading of invoice files,uploading of invoice files
library funds,library funds,library funds
cancel orders,cancel orders,cancel orders
claiming a late serial issue,claiming a late serial issue,claiming a late serial issue
late acquisitions order,late acquisitions order,late acquisitions order
libraries settings,libraries settings,libraries settings
order from a new .mrc file,order from a new .mrc file,order from a new .mrc file
order from a staged file,order from a staged file,order from a staged file
purge_suggestions.pl,purge_suggestions.pl,purge_suggestions.pl
ACQ bibliographic framework,ACQ bibliographic framework,ACQ bibliographic framework
basket groups,basket groups,basket groups
Author/Subject Cloud cron job,Author/Subject Cloud cron job,Author/Subject Cloud cron job
OPACMainUserBlock,OPACMainUserBlock,OPACMainUserBlock
the news tool,the news tool,the news tool
update the frameworks,update the frameworks,update the frameworks
IntranetUserJS,IntranetUserJS,IntranetUserJS
their online account on the OPAC,their online account on the OPAC,their online account on the OPAC
their information,their information,their information
personal setting,personal setting,personal setting
patron category setting,patron category setting,patron category setting
searching for patrons,searching for patrons,searching for patrons
Patron Attribute Types,Patron Attribute Types,Patron Attribute Types
Circulation history tab,Circulation history tab,Circulation history tab
Holds history tab,Holds history tab,Holds history tab
IntranetReadingHistoryHolds,IntranetReadingHistoryHolds,IntranetReadingHistoryHolds
Circulation history,Circulation history,Circulation history
privacy page,privacy page,privacy page
lists,lists,lists
ListOwnerDesignated,ListOwnerDesignated,ListOwnerDesignated
ListOwnershipUponPatronDeletion,ListOwnershipUponPatronDeletion,ListOwnershipUponPatronDeletion
misc/cronjobs/cleanup_database.pl,misc/cronjobs/cleanup_database.pl,misc/cronjobs/cleanup_database.pl
change their password,change their password,change their password
circulation rules matrix,circulation rules matrix,circulation rules matrix
one by one,one by one,one by one
in bulk,in bulk,in bulk
OPACpatronimages,OPACpatronimages,OPACpatronimages
ShowPatronImageInWebBasedSelfCheck,ShowPatronImageInWebBasedSelfCheck,ShowPatronImageInWebBasedSelfCheck
Statistics tab,Statistics tab,Statistics tab
TrackLastPatronActivityTriggers,TrackLastPatronActivityTriggers,TrackLastPatronActivityTriggers
TrackLastPatronActivity,TrackLastPatronActivity,TrackLastPatronActivity
checks out an item to the patron,checks out an item to the patron,checks out an item to the patron
the patron logs into the OPAC,the patron logs into the OPAC,the patron logs into the OPAC
places an article request in the staff interface,places an article request in the staff interface,places an article request in the staff interface
staff renews a checked out item for the patron,staff renews a checked out item for the patron,staff renews a checked out item for the patron
the patron renews their checkout through their OPAC account,the patron renews their checkout through their OPAC account,the patron renews their checkout through their OPAC account
staff checks in an item,staff checks in an item,staff checks in an item
emitting a discharge from the patron record,emitting a discharge from the patron record,emitting a discharge from the patron record
requesting a discharge from the OPAC,requesting a discharge from the OPAC,requesting a discharge from the OPAC
